username,password,path,x,y
fun,12345,2,302.96,623
hor,12345,4,0,93.25
hor,12345,4,302.95,623
chia,12345,5,81,320.95
chia,12345,5,128.96,368.9
chia,12345,5,302.96,623
anson,1234,6,302.96,623
Hello,12345,3,0,46.45
Lesgo,12345,6,0.95,30.5
run,12345,6,0,14.1
pop,12345,5,0,47.55
pop,12345,5,0,111.2
pop,12345,5,16.35,320.95
pop,12345,5,302.96,623
lesgo,12345,1,302.96,623
pop,12345,5,302.96,623.0
lesgo,12345,1,302.96,623.0
lesgo,12345,1,302.96,623.0
hor,12345,4,302.96,623.0
anson,1234,6,302.96,623.0
anson,1234,6,302.96,623.0
hor,12345,4,302.96,623.0
hor,12345,4,302.96,623.0
hor,12345,4,302.96,623.0
hor,12345,4,302.96,623.0
new,1234,3,0.0,141.59999999999795
new,1234,3,17.35000000000011,320.9500000000387
new,1234,3,302.95000000003506,622.9999999999793
new,1234,3,302.96,623.0
hello,123,2,128.95999999999935,368.9
hello,123,2,288.96000000003573,624.9999999999297
hello,123,2,302.9600000000394,622.9999999999297
last,123,3,128.99999999999508,368.9500000000297
last,123,3,302.9600000000394,622.9999999999297
last,123,3,302.96,623.0
venom,12345,4,0.0,271.55000000002747
one,1234,2,302.95000000003506,622.9999999999793
kol,12345,4,302.95000000003506,622.9999999999793
bong,1234,3,0.0,13.200000000000053
lol,12345,4,0.0,238.2000000000199
mom,12345,3,302.9600000000394,622.9999999999297
mom,12345,3,302.96,623.0
sdsadsa,dsadassad,3,288.0000000000312,565.4000000000335
yggygyu,uihu,1,0.0,238.2000000000199
iuiu,sddfs,2,0.9500000000000003,174.0499999999854
